,name_cn,name_en,name_abbr,notes
1,<U+00B0><U+00B2><U+00BB><d5>,Anhui,AH,
2,<U+00B1><U+00B1><U+00BE><U+00A9>,Beijing,BJ,
3,<U+00B8><U+00A3><U+00BD><U+00A8>,Fujian,FJ,
4,<U+00B8><ca><cb><e0>,Gansu,GS,
5,<U+00B9><U+3DAB>,Guangdong,GD,
6,<U+00B9><e3><ce><f7>,Guangxi,GX,
7,<U+00B9><f3><d6><dd>,Guizhou,GZ,
8,<U+00BA><U+00A3><c4><cf>,Hainan,HI,
9,<U+00BA><U+04F1><U+00B1>,Hebei,HE,
10,<U+00BA><d3><c4><cf>,Henan,HA,
11,<U+00BA><da><c1><fa><U+00BD><U+00AD>,Heilongjiang,HL,
12,<U+00BA><fe><U+00B1><U+00B1>,Hubei,HB,
13,<U+00BA><fe><c4><cf>,Hunan,HN,
14,<U+00BC><U+00AA><c1><d6>,Jilin,JL,
15,<U+00BD><U+00AD><cb><d5>,Jiangsu,JS,
16,<U+00BD><U+00AD><ce><f7>,Jiangxi,JX,
17,<c1><c9><c4><fe>,Liaoning,LN,
18,<c4><da><c3><U+0279><c5>,Inner Mongoria,IM,NM
19,<c4><fe><cf><c4>,Ningxia,NX,
20,<c7><U+0EA3>,Qinghai,QH,
21,<U+027D><U+00B6><U+00AB>,Shandong,SD,
22,<U+027D><ce><f7>,Shanxi,SX,
23,<c9><c2><ce><f7>,Shaanxi,SN,
24,<c9><U+03FA><U+00A3>,Shanghai,SH,
25,<cb>J<U+00A8>,Sichuan,SC,
26,<cc><ec><U+00BD><f2>,Tianjin,TJ,
27,<ce><f7><U+00B2><d8>,Tibet,XZ,
28,<d0>??<U+00AE>,Xinjiang,XJ,
29,<d4><c6><c4><cf>,Yunnan,YN,
30,<d5><U+3F6D>,Zhejiang,ZJ,
31,<d6><d8><c7><ec>,Chongqing,CQ,
32,<U+00B0><c4><c3><c5>,Macao,MO,
33,<cf><e3><U+00B8><db>,Hong Kong,HK,
34,<U+0328><cd><e5>,Taiwan,TW,
