SDG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,SDGc
Anhui,18.65978361,11.25145572,23.13523119,18.00323215,-0.576746201,8.303807094,17.62051438,9.688450418,33.51092727,28.91113261,12.76747972,-5.925824885,17.11815749,,9.601543967,-5.182664358,19.04188058,13.48045337
Beijing,10.48538055,-4.320254672,4.595004302,35.53643937,-0.046917581,7.538966858,6.539037502,-2.529979002,26.87378289,16.02418604,22.40233993,-5.969085331,6.620382927,74.21055137,4.414913999,6.419205043,22.79613349,13.6079763
Chongqing,34.55466316,9.489663307,21.35964515,23.23318695,4.440530501,13.1610472,13.23324512,18.67634158,31.90002215,38.58289982,28.26158127,12.56211841,21.65165217,,2.203465973,17.02538811,21.99537562,19.50407456
Fujian,16.02670706,11.90356517,10.75202577,19.94897548,2.947392919,23.5894366,14.61750908,4.551468061,34.22036121,31.88295731,19.3254519,-3.916629226,12.58335194,15.120363,8.984545917,18.67229105,12.90794384,14.92152593
Gansu,17.73334722,17.06984152,29.43624376,22.44596516,-8.534112612,12.79934437,29.75888632,10.85865497,17.55093687,18.18007538,18.07297085,-7.666497958,7.652732075,,3.281589204,22.13380302,24.15179511,14.67098341
Guangdong,15.11512594,5.790170666,12.21517605,29.84458077,4.610693229,-1.390943906,16.46943481,-10.36435601,34.4036969,21.576344,14.20539843,-12.10146308,7.035363634,-30.03200901,3.268141455,-24.73072557,18.8220447,6.135905196
Guangxi,21.2173049,7.027373622,21.17656604,20.22200354,2.91595584,15.21037858,17.10698505,8.215828559,21.23738013,15.59003073,17.2352267,5.092110554,12.30607768,1.883648061,20.37900611,23.14919205,20.85598073,14.74820223
Guizhou,25.37119542,7.6980948,26.72613845,26.36810439,3.773454528,16.90890143,38.58061228,12.24443236,23.41859585,20.84659476,21.61558553,19.4930653,24.93819145,,6.499184569,10.12415986,18.89445276,18.9607442
Hainan,21.77360298,10.61220882,24.04396515,21.02928728,-3.724566129,18.2892376,-0.653904367,7.251587363,17.01550332,5.229544541,11.56274346,5.993768282,13.54643289,-3.880023848,1.134067824,16.94235589,36.62569385,11.90982736
Hebei,9.512503889,11.83133018,13.93674534,16.37704383,-0.957199429,10.24995225,7.719229276,12.42974854,19.32537458,26.29203291,8.51791974,-11.79977917,-2.694689713,0.312302064,2.630740773,10.13303533,17.06685725,8.901187625
Heilongjiang,25.32060103,22.51315172,13.16393372,14.91323267,8.48777471,11.88467836,6.48326831,16.24680974,18.07486388,34.71183572,13.84345376,2.151004542,8.708038453,,-1.370624099,14.05154947,14.6986426,14.17861713
Henan,22.86186993,17.18416662,17.61849672,17.15805836,4.321501568,-0.35814606,9.182655871,0.782507693,21.01364658,24.03540604,16.59531461,-0.897029863,13.64931304,,-5.914818754,12.63377614,14.82061761,11.53842404
Hubei,23.63039258,8.317918143,16.39343326,13.26054281,5.365114957,11.875653,18.48644698,7.423672385,29.50379305,18.46143866,14.49937305,-0.434055613,13.61914683,,4.487718518,-2.850365596,21.54436922,15.25064848
Hunan,17.94066889,7.611183451,14.99131258,17.12301565,5.754789613,15.10840617,-7.71688579,4.134728739,24.00454204,20.95438673,10.81203489,-0.656445301,-2.180072682,,13.94898873,11.34496942,14.44798649,10.46653889
Inner Mongolia,26.42098597,17.58066674,14.96444965,22.31577189,2.388649702,18.37734465,18.36409044,5.367735941,28.23809821,18.92339615,27.91997009,-18.7315403,-3.177195528,,7.84037628,11.70499548,20.54856641,13.67276126
Jiangsu,13.86357468,7.139219919,11.95385166,22.96299528,0.359273876,11.87522582,5.424578235,7.53058571,42.64358383,27.75745797,13.85244371,-11.17331723,3.008907611,2.568876403,-3.673090238,-19.519152,20.98345414,9.396551703
Jiangxi,21.25242342,7.223704697,15.84181476,20.5463128,0.071011087,31.14356276,9.485885715,17.12034227,25.9061149,21.74579708,24.81902387,0.743669693,13.52558822,,6.972359815,23.76448896,20.15596563,16.25554071
Jilin,23.76700822,11.67771718,17.84960307,13.88693999,28.74722937,11.48632548,14.68727664,20.35683716,28.13192479,42.30364981,14.02293933,-2.364812021,9.732497698,,-1.709688914,18.96963331,9.513364059,16.3074689
Liaoning,17.21223184,14.03753876,6.736660932,20.61831588,10.98076095,4.819601102,26.33626433,9.49545065,25.41086563,35.45721747,15.72969661,-10.90590562,9.930429653,4.594835477,-1.359984245,20.52457347,13.66286101,13.11805939
Ningxia,38.16644789,10.92368855,24.70430168,26.74050995,-2.397676271,27.34828748,7.540936026,13.08240742,22.83606141,9.373085344,38.92167559,-3.198877427,11.2637891,,-7.207951086,24.25046574,18.10312311,16.26105662
Qinghai,23.11503811,8.972654614,19.51358822,28.23510223,-2.348032104,13.99641178,-3.772598825,12.50171047,22.64763084,5.21613655,9.374330231,-50.62311511,2.242896632,,-0.045449603,13.45811052,19.19369047,7.582681554
Shaanxi,17.18008603,13.6691073,23.75631202,23.42496157,3.357504239,3.276456027,-0.490596209,4.475541425,25.58595311,28.24997276,26.90696921,5.02997036,5.665700466,,-0.132456326,-14.8848201,28.153448,12.05551816
Shandong,21.70975547,12.51226432,12.33626943,22.77128752,1.939640102,-1.093618851,-7.513726124,0.707587027,31.1311867,23.46103991,14.94930957,-21.61792486,-5.286088277,1.047405084,-6.747986276,16.03344368,16.05062184,7.771328576
Shanghai,11.32244051,4.160932082,6.266292793,27.54186524,7.336860671,-5.229115895,-10.47509608,-7.383283507,31.69958274,34.15572207,19.9568738,-7.615842585,15.18682499,-24.87175524,-7.792516111,-1.735958251,9.794077364,5.942357137
Shanxi,15.40432804,11.10563729,13.1014316,19.04382921,6.024234566,0.946411257,11.42675952,15.64143001,17.50489362,35.41183524,19.75760222,-1.223972804,5.949974724,,-4.570294417,-27.52903533,16.82849941,9.658636524
Sichuan,21.88705947,13.25691372,21.92129588,22.75331112,-0.363370411,16.83469727,27.96793785,4.668212784,25.82375,21.24685328,13.33739621,7.773715602,10.94750843,,-0.443420566,8.653633444,22.12755107,14.87946157
Tianjin,14.01654606,2.603539772,11.50351748,20.20990511,23.10905762,17.18760684,16.14984365,-4.376040462,36.17789506,28.71443269,18.60542537,-8.500177169,2.023670317,-5.008990045,-5.67816646,17.15049656,-0.623364754,10.74375746
Tibet,-3.829319656,14.38034982,17.39231643,24.41215693,2.021381945,20.04137183,0,32.10334651,14.30831218,6.95828268,-0.892504598,-12.82795747,0.626634018,,15.91847026,28.87973944,46.28317812,13.70687972
Xinjiang,11.82631469,10.439808,15.09921468,18.64822629,4.575659932,22.00359435,-0.788101765,7.763592261,20.15180474,26.44891018,2.235338698,-19.69875856,-9.61581648,,7.79426032,3.203964149,26.80683633,9.167202112
Yunnan,21.59861987,2.728939947,26.82059272,23.13462527,4.751579686,14.76399556,25.36991443,7.72946691,18.72106654,18.50294722,11.72124702,12.74295474,8.367371882,,6.343486504,12.52962724,20.38536698,14.74511064
Zhejiang,26.94252593,4.979075481,12.04593426,28.70628312,6.987207399,12.11487635,15.46861371,10.05251335,39.95439165,34.6909458,19.96025287,-11.50899061,7.162911983,1.050232773,4.281066617,-14.69378919,22.8164018,12.97055319
